year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL
2022,BGD,Bangladesh,BD,Barisal,BD10,4243339
2022,BGD,Bangladesh,BD,Chittagong,BD20,16951397
2022,BGD,Bangladesh,BD,Dhaka,BD30,23170810
2022,BGD,Bangladesh,BD,Khulna,BD40,8305656
2022,BGD,Bangladesh,BD,Mymensingh,BD45,6126785
2022,BGD,Bangladesh,BD,Rajshahi,BD50,10341651
2022,BGD,Bangladesh,BD,Rangpur,BD55,8940526
2022,BGD,Bangladesh,BD,Sylhet,BD60,6249070
